singular_value_index,mean_c_ideal_noise_0,std_c_ideal_noise_0,mean_c_noisy_noise_25,std_c_noisy_noise_25,mean_c_ctc_noise_25,std_c_ctc_noise_25,mean_c_noisy_noise_50,std_c_noisy_noise_50,mean_c_ctc_noise_50,std_c_ctc_noise_50
44,0.1264089774747042,0.0,0.7452739760969048,0.0,0.3007486133769502,0.0,0.8963167794957451,0.0,0.5331685530589577,0.0
45,0.11320195405177202,0.0,0.7436849187198573,0.0,0.29562335245519855,0.0,0.8954126052533306,0.0,0.5212359039786458,0.0
46,0.10880367394693541,0.0,0.7362297694236919,0.0,0.2839039713227771,0.0,0.8948289911385536,0.0,0.5172219894389346,0.0
47,0.10568484317153629,0.0,0.7317533661646674,0.0,0.278593135787886,0.0,0.8920200793134591,0.0,0.5154693298529658,0.0
48,0.09826726057402008,0.0,0.7273844303498715,0.0,0.2735444028288947,0.0,0.890831835484298,0.0,0.5063442750024459,0.0
49,0.09089084830034302,0.0,0.7259903900742338,0.0,0.2669279332077666,0.0,0.889602474988252,0.0,0.5027526360506963,0.0
50,0.08182302728583224,0.0,0.7182408346771914,0.0,0.25828408549350584,0.0,0.888076225132071,0.0,0.49159501550497464,0.0
51,0.07945350822954367,0.0,0.7170247949475539,0.0,0.25747190056148245,0.0,0.8863797059925271,0.0,0.4858625022524258,0.0
52,0.07121637587926674,0.0,0.7126063649139183,0.0,0.2519557776214253,0.0,0.8855676974215008,0.0,0.4823716909609384,0.0
53,0.06519851893812727,0.0,0.7099474224504332,0.0,0.24997790236647438,0.0,0.884891982242254,0.0,0.4705958952837225,0.0
54,0.061085825998532045,0.0,0.7035211372780824,0.0,0.24445660796933844,0.0,0.8834166719720461,0.0,0.4652719147357844,0.0
55,0.05627188329796005,0.0,0.7031074097078809,0.0,0.24146766484080912,0.0,0.8822158065070542,0.0,0.4605745327541856,0.0
56,0.05323535222700765,0.0,0.6996285079284,0.0,0.23729119296421464,0.0,0.881429255351514,0.0,0.4562356279009032,0.0
57,0.04945070002919692,0.0,0.6951483562230302,0.0,0.23423609755194652,0.0,0.8803105764314642,0.0,0.45417886840947347,0.0
58,0.04668359364963954,0.0,0.6939874865930891,0.0,0.2268869926185261,0.0,0.8786382474408874,0.0,0.44390040930317815,0.0
59,0.04528633995010184,0.0,0.6938734687150944,0.0,0.21899453240839126,0.0,0.8781776509460866,0.0,0.437703105273771,0.0
60,0.044567167239286026,0.0,0.6887139055989543,0.0,0.21312214765232318,0.0,0.8762196228427986,0.0,0.4286852749443923,0.0
61,0.04129173105115615,0.0,0.6880980033140526,0.0,0.20897925345052706,0.0,0.8753237060517552,0.0,0.42339399011509926,0.0
62,0.03963719146117182,0.0,0.6848080644582487,0.0,0.2062293902126033,0.0,0.8735603616754225,0.0,0.41305429481100564,0.0
63,0.03576987604176836,0.0,0.6816845591911116,0.0,0.2043368613912115,0.0,0.8724559326634049,0.0,0.41066430997748066,0.0
64,0.03463772550531802,0.0,0.6790308175374326,0.0,0.1998198404696078,0.0,0.8709500457429539,0.0,0.4074378821039338,0.0
65,0.034000929653138744,0.0,0.6746106435304738,0.0,0.19201272726885882,0.0,0.8692448581650309,0.0,0.4037931919717235,0.0
66,0.030687042652238036,0.0,0.6726540893520908,0.0,0.19015977372342988,0.0,0.8687739808869662,0.0,0.39852421840071106,0.0
67,0.02937312622269292,0.0,0.6694418825012255,0.0,0.1820648287269533,0.0,0.8680949694861738,0.0,0.3876988171141326,0.0
68,0.028672965553921126,0.0,0.6664817415597138,0.0,0.17605263785464192,0.0,0.8675907741756924,0.0,0.3851509892559818,0.0
69,0.026765081604143887,0.0,0.6611902361770756,0.0,0.1733132473299632,0.0,0.8655434880336548,0.0,0.37574801686619896,0.0
70,0.025250073841093446,0.0,0.6597221427697386,0.0,0.1707961346677453,0.0,0.8646515197203972,0.0,0.3608070245661602,0.0
71,0.023790754582331396,0.0,0.6564072472583254,0.0,0.16636240406924513,0.0,0.8633832406495402,0.0,0.3537138068180358,0.0
72,0.023177590953919462,0.0,0.65496497815573,0.0,0.1594302349697249,0.0,0.8624791696674645,0.0,0.34806649467578743,0.0
73,0.022505367143402885,0.0,0.6528966989907135,0.0,0.15807404978920234,0.0,0.8604947053933539,0.0,0.3461867764614248,0.0
74,0.021322450196682684,0.0,0.6493457920944266,0.0,0.15661615610118482,0.0,0.859682842109339,0.0,0.33713033670368037,0.0
75,0.020063770564763776,0.0,0.6459915684172528,0.0,0.15256232898613506,0.0,0.8584720421596344,0.0,0.32041024330925255,0.0
76,0.018254286200664632,0.0,0.6430284968396649,0.0,0.14979472262807592,0.0,0.858156181806142,0.0,0.31318280351878425,0.0
